排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,早春晴朗,50037669,418713,D2,57,24,完结FT,72230
2,情蛊,42794950,456040,D2,68,49,4000w福利·山大王,86178
3,放学等我 第一季,55169412,846688,D2,53,18,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,56056287,580452,D2,98,41,OST A12 · 暗恋基本法,85974
5,小蘑菇 第一季,51366597,934848,D2,33,17,白噪音·漫步荒原,29125
6,恒星时刻 第一季,1560118,68455,D2,13,0,歌曲《狮心》,94789
7,二哈和他的白猫师尊,168239737,3202956,B,84,0,概念曲-拜长久（+童声版）,20741
8,天官赐福 第四季,12651496,136263,D2,31,10,新年小剧场《压岁钱》,91718
9,灯花笑 上季,4446271,63230,D2,36,16,突击采访,94733
10,天官赐福 第一季,89352270,982441,D2,61,43,四千万福利·小剧场·从前有一位名师,52400
11,不二之臣,41672133,861831,B,16,0,大结局·下,25580
12,难哄,148022906,1586102,D2,76,48,破亿福利·纪念FT,38074
13,虚拟偶像团综丨《去世界尽头》,7107701,56103,B,52,0,嘉宾观察室乔殊篇·小歌迷,94354
14,干涸地,2324298,95604,D2,5,2,火风L原著|干涸地·第三集,86725
15,红白囍 第一季,7729574,117100,D2,46,13,花絮03,81597
16,魔道祖师 第一季,260958938,2289529,D2,39,22,主创FT<下>,15861
17,你的雪人能活多久 第一季,1869043,63066,D2,32,10,第八集 · 爱神降临,93787
18,伪装学渣 第一季,103872206,1956896,D2,30,17,千万福利·“叫妈妈”,58262
19,囚于永夜,5467190,324463,B,1,0,织音发布会纯享PV · 概念预告,86822
20,台风眼 第一季,36314392,312856,D2,53,20,千万福利·富士山在等一片云,52404
21,将进酒 第一季,107125560,1451243,D2,59,16,完结FT,25944
22,偷偷藏不住,203687701,2421920,D2,89,54,2亿福利·双人电话语音,34632
23,我在无限游戏里封神 第一季,75415813,1007585,D2,64,14,线下漫展VLOG,52347
24,重生之将门毒后 第一季,95722305,846114,D2,82,27,主役reaction·片段03,43922
25,一屋暗灯 全一季,13482748,210648,D2,54,14,主役版主题曲▪未说的,93038
26,天官赐福 第三季,74085867,278977,D2,68,44,小剧场·元宵·花灯,82040
27,某某 第一季,99166355,1730111,D2,43,28,伴奏|《梧桐说》,58219
28,见春天,13625617,236940,D2,54,8,魏清越书信·02,80533
29,我喜欢你的信息素 第一季,101347646,1524271,D2,48,21,四千万福利,58217
30,如果月亮不抱你,84291494,1196706,B,24,0,全网2000万福利突击采访,25485
31,藏南晚星,20504113,211346,D2,81,44,✧2000万福利·番外·美梦,85110
32,伏特加与曼特宁,2260351,67574,D2,34,9,第八期,92988
33,放学等我 第二季,32406935,456299,D2,42,16,番外·恋爱纪念日,68837
34,再世权臣 第一季,22580968,265364,D2,79,17,花絮07,71321
35,尾钩,1088118,24351,D2,42,23,第30集 · 郎峰的教堂,95503
36,我在无限游戏里封神 第四季,8320031,147669,D2,56,15,特别放送 · emoji大挑战,86834
37,天官赐福 第二季,75450242,367367,D2,61,43,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
38,不想了,10037060,115977,D2,93,66,500W福利·主役版主题曲《同谋》,70445
