排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,49223634,414349,D2,57,24,27201,17679,64.99%,4.27%,完结FT,72230
2,天官赐福 第四季,11757007,133814,D2,30,9,12889,7471,57.96%,5.58%,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,1128938,65015,D2,9,0,10113,0,0.00%,0.00%,100w福利音 · 地地地道地地道道问候语音,94789
4,奇洛李维斯回信,55773236,579164,D2,98,41,54231,29244,53.92%,5.05%,OST A12 · 暗恋基本法,85974
5,尾钩,926044,23255,D2,33,19,2515,1571,62.47%,6.76%,第26集 · 憧憬,95503
6,你的雪人能活多久 第一季,1743480,60835,D2,31,9,5846,1378,23.57%,2.27%,小剧场04 · 密码,93787
7,情蛊,42588919,454515,D2,68,49,55039,34172,62.09%,7.52%,4000w福利·山大王,86178
8,灯花笑 上季,4234588,61924,D2,33,15,8892,2313,26.01%,3.74%,主题曲叁·万春融雪,94733
9,天官赐福 第三季,73694317,278057,D2,68,44,34553,28659,82.94%,10.31%,小剧场·元宵·花灯,82040
10,宋玉章 第一季,4620741,47042,D2,28,5,3258,1327,40.73%,2.82%,第八折 ·  沉溺芳华,86589
11,天官赐福 第一季,88966043,981116,D2,61,43,69088,37349,54.06%,3.81%,四千万福利·小剧场·从前有一位名师,52400
12,天官赐福 第二季,75094086,366457,D2,61,43,39194,35688,91.05%,9.74%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
13,伏特加与曼特宁,2172762,66958,D2,32,8,3804,1614,42.43%,2.41%,✦店长来啦！⑦,92988
14,全职高手广播剧第四季 上,72828,6086,D2,3,0,442,0,0.00%,0.00%,第一集,96092
15,我在无限游戏里封神 第四季,8240200,147071,D2,56,15,12180,9634,79.10%,6.55%,特别放送 · emoji大挑战,86834
16,满城衣冠 全一季,2831808,57547,D2,36,11,3636,1672,45.98%,2.91%,第12集 · 绑架,90878
17,一屋暗灯 全一季,13384364,209891,D2,54,14,35011,16304,46.57%,7.77%,主役版主题曲▪未说的,93038
18,藏南晚星,20419878,210785,D2,81,44,21330,15851,74.31%,7.52%,✧2000万福利·番外·美梦,85110
19,放学等我 第一季,55014233,845317,D2,53,18,61954,35851,57.87%,4.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
20,放学等我 第二季,32311713,455428,D2,42,16,44393,33829,76.20%,7.43%,番外·恋爱纪念日,68837
21,囚于永夜,1648001,34078,D2,200,161,3471,1137,32.76%,3.34%,番外 少爷的生日7,94916
22,魔道祖师 第三季,298124164,1549315,D2,66,56,97589,89893,92.11%,5.80%,传讯符·忘羡,22602
23,魔道祖师 第一季,260854138,2288712,D2,39,22,97131,64633,66.54%,2.82%,主创FT<下>,15861
24,江医生 第一季,17395454,239841,D2,49,27,23321,14300,61.32%,5.96%,千万播放福利第四弹·小剧场·猫,81852
25,沉浮事,1141387,18135,D2,18,7,1911,1145,59.92%,6.31%,浊世篇·第七集,94775
26,魔道祖师 第二季,171976806,1424510,D2,41,37,88910,81654,91.84%,5.73%,主役FT（下）,19059
27,我在无限游戏里封神 第三季,24536913,222473,D2,91,21,30583,22830,74.65%,10.26%,破亿纪念单曲·神明所遗落的,81851
28,台风眼 第二季,30148940,165047,D2,50,32,14460,13391,92.61%,8.11%,完结 FT,68664
29,台风眼 第一季,36246562,312076,D2,53,20,22418,14003,62.46%,4.49%,千万福利·富士山在等一片云,52404
