排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,洄天 第一季,24682343,230910,50,8,第十期,86815
2,一屋暗灯 全一季,6246816,143214,32,5,小剧场▪存钱罐,93038
3,我在无限游戏里封神 第四季,4498187,122764,29,9,第九集 · 纪念品,86834
4,入蛊 全一季,325005,13840,8,2,Ⱄⱄᐝ第五回,93646
5,沉醉不醒,2775703,49408,30,12,第十期,86740
6,奇洛李维斯回信 番外篇,757497,52961,3,2,番外 ·  庆生宴,93420
7,愚蠢的有钱人,861715,21596,64,49,【花絮4】,93113
8,再世权臣 第三季（下）,261664,16965,8,4,第四集 ·  白鹿祥瑞,93437
9,娑婆,806404,28506,10,3,第五集,93178
10,逆鳞 第一季,101641,9252,6,0,主题曲《赴人间》,93750
11,液态欲望 全一季,582868,27188,19,7,花絮03,86692
12,禁区,365475,11529,62,36,41 动机,92575
13,欲言难止,174039,7997,182,160,欲言难止 第171集 我做了一个很长的梦（完）,93138
14,舍舟,10635,1076,9,0,第六集·盲文,93775
15,秋燥 第一季,152571,11197,6,0,第二集,93438
16,美人印,673906,30301,22,13,副cp小剧场,92611
17,降水概率百分百,923801,21103,18,5,˚.⊹ 第八期 ♡₊˚,93005
18,门生故旧,66326,6835,5,0,倒计时② · 季誉,93774
19,蜉蝣,337409,18083,11,1,ೀ˖˚ 第四集,93202
20,余污 第一季,286239,14145,13,4,第六期,92701
21,沉浮事,387779,11622,67,57,第陆拾肆集 弥补,92895
22,逐玉 第二季,858308,15333,20,8,第十一集 · 阿娘,92520
23,初三的六一儿童节 第二季（上）,1134123,10568,13,6,第七集 · 情蜜蜜,93154
24,怀火 全一季,206921,10801,22,8,小剧场·一个准Alpha爸爸的焦虑,91418
25,精神科医生神经了,43964,6010,6,0,倒计时①·明天见,93567
26,嫁入高门的人,159636,5091,41,29,第35集,93169
27,全球进化后我站在食物链顶端 第二季（下）,187919,10630,13,8,小剧场·沈轻扬,92775
28,第二十八年春II,172944,6496,2,0,第五期,92633
29,不良执念清除师 全一季,1156248,10864,19,6,第九集·无数回忆,86818
30,伏特加与曼特宁,267766,10292,57,48,°☆. 第53集 « *,92968
