排名,剧名,播放量,订阅数,宣发策略,最新更新,剧集ID
1,早春晴朗,49899931,418038,D2,完结FT,72230
2,情蛊,42756565,455771,D2,4000w福利·山大王,86178
3,放学等我 第一季,55143566,846480,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,56004812,580241,D2,OST A12 · 暗恋基本法,85974
5,小蘑菇 第一季,51354448,934734,D2,白噪音·漫步荒原,29125
6,二哈和他的白猫师尊,168210380,3202815,B,概念曲-拜长久（+童声版）,20741
7,恒星时刻 第一季,1493883,68065,D2,歌曲《狮心》（Live）Remix,94789
8,天官赐福 第四季,12491203,135804,D2,新年小剧场《压岁钱》,91718
9,灯花笑 上季,4414199,63058,D2,突击采访,94733
10,天官赐福 第一季,89279906,982212,D2,四千万福利·小剧场·从前有一位名师,52400
11,难哄,148003745,1586006,D2,破亿福利·纪念FT,38074
12,不二之臣,41661027,861715,B,大结局·下,25580
13,虚拟偶像团综丨《去世界尽头》,7062746,56013,B,嘉宾观察室乔殊篇·小歌迷,94354
14,干涸地,2319697,95543,D2,火风L原著|干涸地·第三集,86725
15,红白囍 第一季,7725492,117067,D2,花絮03,81597
16,魔道祖师 第一季,260939410,2289406,D2,主创FT<下>,15861
17,伪装学渣 第一季,103865209,1956788,D2,千万福利·“叫妈妈”,58262
18,你的雪人能活多久 第一季,1841108,62634,D2,第八集 · 爱神降临,93787
19,囚于永夜,5464164,324396,B,织音发布会纯享PV · 概念预告,86822
20,台风眼 第一季,36302658,312744,D2,千万福利·富士山在等一片云,52404
21,将进酒 第一季,107108503,1451135,D2,完结FT,25944
22,偷偷藏不住,203672959,2421873,D2,2亿福利·双人电话语音,34632
23,我在无限游戏里封神 第一季,75397658,1007468,D2,线下漫展VLOG,52347
24,重生之将门毒后 第一季,95699999,845998,D2,主役reaction·片段03,43922
25,一屋暗灯 全一季,13465551,210516,D2,主役版主题曲▪未说的,93038
26,某某 第一季,99154855,1730012,D2,伴奏|《梧桐说》,58219
27,天官赐福 第三季,73998285,278799,D2,小剧场·元宵·花灯,82040
28,我喜欢你的信息素 第一季,101334159,1524155,D2,四千万福利,58217
29,见春天,13620504,236893,D2,魏清越书信·02,80533
30,如果月亮不抱你,84280823,1196640,B,全网2000万福利突击采访,25485
