排名,剧名,播放量,订阅数,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,最新更新,剧集ID
1,洄天 第一季,15026024,185443,29,0,12272,0,0.00%,第一期,86815
2,我在无限游戏里封神 第四季,1882585,94878,9,0,3500,0,0.00%,加载进度 · 倒计时2天,86834
3,逐玉 第一季,4044271,69802,43,14,2176,965,44.35%,原创配乐 · 凶夜,89245
4,奇洛李维斯回信,40702289,499774,79,23,46185,23325,50.50%,花絮09 ·小花絮又又又又又来了,85974
5,情蛊,33113417,374338,61,42,45077,27678,61.40%,番外·此为情蛊,86178
6,于是麦麦决定离家出走,4012184,92504,27,16,7208,4153,57.62%,第十一期,86179
7,顶级掠食者 第二季,5073381,48740,24,9,3928,2910,74.08%,第九集,86789
8,一颗苹果,10874688,132072,70,28,10035,3837,38.24%,第十三根肋骨 ·  06,90818
9,反差 全一季,6014225,48375,25,8,3010,1446,48.04%,第八集·雪崩无声,86684
10,天官赐福 第三季,66836590,249506,67,43,31286,25702,82.15%,小剧场·元宵·花灯,82040
11,再世权臣 第三季（上）,1846020,43641,29,6,2720,1855,68.20%,第六集 ·  到此为止,86827
12,太傅他人人喊打 第二季,1887007,35395,17,7,2407,1236,51.35%,第七集,86723
13,欢迎进入梦魇直播间 第二季,4620545,39078,20,8,2886,1979,68.57%,200W特别语音「警惕x骚扰」,90985
14,惹祸精,614858,24601,31,10,1169,527,45.08%,第十二集,90987
15,初三的六一儿童节,22169551,47243,228,196,5141,3961,77.05%,花絮 | 第8弹,85562
16,天官赐福 第二季,69255786,339878,61,43,36963,33613,90.94%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
17,沉醉不醒,1215090,37434,9,0,1518,0,0.00%,第一期,86740
18,偷风不偷月 上季,7625174,122470,41,18,10077,5541,54.99%,300w福利·楚识琛（沈若臻）·风月语录,71389
19,天官赐福 第一季,81925056,935105,61,43,67484,36193,53.63%,四千万福利·小剧场·从前有一位名师,52400
20,藏南晚星,17399613,188463,79,42,18550,13552,73.06%,主题曲伴奏·途经,85110
21,早春晴朗,30591181,238079,57,24,19117,12539,65.59%,完结FT,72230
22,我在无限游戏里封神 第三季,20822108,198918,91,21,27656,20301,73.41%,破亿纪念单曲·神明所遗落的,81851
23,放学等我 第一季,49502907,793850,53,18,62435,36329,58.19%,1700W福利·P-特别小剧场「2022.12.2」,64911
24,重生之将门毒后 第二季,40117969,372311,83,26,49375,33095,67.03%,破亿福利·白噪音·花灯,52293
25,美人印,385800,25375,8,1,1576,146,9.26%,第三集,92611
26,逐玉 第二季,541059,11464,7,0,346,0,0.00%,第三集 · 比试,92520
27,放学等我 第二季,29090244,422011,42,16,44029,34686,78.78%,番外·恋爱纪念日,68837
28,偷风不偷月 下季,3258363,58503,35,17,4242,3971,93.61%,100W福利·白噪音,77591
29,小蘑菇 第二季,48898770,488854,46,33,50173,46687,93.05%,全剧五千万福利,39605
30,吞海 第一季,49363381,511751,54,17,43820,27293,62.28%,原创配乐·破晓,29187
31,将进酒 第一季,104063486,1419438,59,16,78126,53263,68.18%,完结FT,25944
32,魔道祖师 第三季,294212209,1532871,66,56,97590,90021,92.24%,传讯符·忘羡,22602
33,重生之将门毒后 第一季,90631338,816303,82,27,87966,42080,47.84%,主役reaction·片段03,43922
34,魔道祖师 第一季,256721893,2245203,39,22,96743,64533,66.71%,主创FT<下>,15861
35,小蘑菇 第一季,48432829,903051,33,17,57892,38877,67.15%,白噪音·漫步荒原,29125
36,我在无限游戏里封神 第一季,70389667,962899,64,14,76216,42735,56.07%,线下漫展VLOG,52347
37,魔道祖师 第二季,169554444,1408120,41,37,88682,81445,91.84%,主役FT（下）,19059
38,失忆后死对头成了我男朋友？,4332946,91740,44,20,5815,3854,66.28%,花絮·陆云笙,86693
39,吞海 第二季,31139248,259734,56,19,24845,23111,93.02%,新年祝福,67085
40,将进酒 第二季,71338331,805722,45,22,67005,60911,90.91%,第二季完结FT,30383
41,我喜欢你的信息素 第一季,98144602,1486999,48,21,72339,45204,62.49%,四千万福利,58217
42,吞海 第三季（上）,21507143,206157,38,16,17485,16354,93.53%,OST·04 此地埋名,73221
43,某某 第一季,96530559,1692524,43,28,77281,45043,58.28%,伴奏|《梧桐说》,58219
44,我在无限游戏里封神 第二季（下）,18985133,237068,55,14,26199,22285,85.06%,花絮06,76557
45,你的距离,88752455,925624,70,27,78125,56083,71.79%,完结FT·主创版,31552
46,语义错误 第一季,2408452,21725,13,2,1538,401,26.07%,Ep.05 EXCEPTION,92155
47,吞海 第三季（下）,18407670,182071,51,18,17775,16047,90.28%,破亿纪念•抒情主役版「晓」,76879
48,欢迎进入梦魇直播间 第一季,22493005,185390,62,20,18719,8110,43.32%,完结FT,75856
49,再世权臣 第一季,20273125,248023,79,17,22826,10680,46.79%,花絮07,71321
50,太傅他人人喊打 第一季,6484084,117079,46,31,8090,4811,59.47%,充电·燕迟,73214
