排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,12153527,134850,D2,31,10,新年小剧场《压岁钱》,91718
2,恒星时刻 第一季,1356795,66957,D2,12,0,歌曲《狮心》（Live）Remix,94789
3,灯花笑 上季,4333131,62591,D2,35,16,盛京杂谈·叁,94733
4,你的雪人能活多久 第一季,1790233,61790,D2,31,9,小剧场04 · 密码,93787
5,满城衣冠 全一季,2890142,57945,D2,37,12,第13集 · 脱困,90878
6,宋玉章 第一季,4769601,47938,D2,28,5,第八折 ·  沉溺芳华,86589
7,尾钩,984870,23596,D2,35,21,第28集 · 心火微燃,95503
8,伏特加与曼特宁,2200014,67170,D2,33,8,主题曲·秩序失守,92988
9,干涸地,2309460,95453,D2,5,2,火风L原著|干涸地·第三集,86725
10,炽火难熄 全一季,479332,22154,D2,19,7,第九集 · Estoy enamorado de ti,94917
11,是心跳说谎 全一季,144933,7233,D2,9,1,第三集,95516
12,全职高手广播剧第四季 上,86532,6775,D2,3,0,第一集,96092
13,尚公主 第一季,26791,2539,D2,2,0,预告贰·长安少年行,95847
14,二哈在狼群里疯狂造谣 第一季,253907,10079,D2,10,0,主题曲·恋爱使狼声名狼藉,94772
15,囚于永夜,1681047,34442,D2,200,161,番外 少爷的生日7,94916
16,绰约,2435288,33127,D2,48,13,律法小贴士·13则,86680
17,触礁,495980,14123,D2,22,10,EP07⟢| 风和心脏 |,95034
18,嫡谋·第一季,434189,10649,D2,21,11,第十三集·「韩园探秘」,94462
19,沙子，时间，雨树,128527,8185,D2,6,0,第1集✧˖如果你的眼睛，不是月亮的颜色,94825
20,放学后别来我办公室 全一季,756676,20131,D2,18,4,音频花絮01「谏太宗十诗酥」,86868
21,解瘾,662177,14840,D2,32,8,花絮6❃亲不动了要秃噜皮啦,94782
22,搭界 第一季,549436,17343,D2,30,16,第十一集,94617
23,沉浮事,1175669,18365,D2,18,7,浊世篇·第七集,94775
24,合笼蛊,604293,10097,D2,22,9,第十一集·不悔,94418
25,茱丽叶塔 全一季,97227,6370,D2,29,5,「第八集」“世间所缺少的爱”,95106
26,传闻,149164,8899,D2,10,0,✧主役采访 · 下期,95625
27,穿进赛博游戏后干掉BOSS成功上位 第一季,105278,4973,B,8,0,第4集,95678
28,守寡后我重生了 第二季,173773,4716,D2,15,5,第六集,95212
29,乘鸾 第一季,137986,5266,D2,13,2,花絮一,94849
30,错登科  第一季,158191,5605,D2,17,9,第十集·解语花,94787
