排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
1,天官赐福 第四季,11763635,133826,D2,30,9,新年小剧场《压岁钱》,91718
2,灯花笑 上季,4235547,61928,D2,33,15,主题曲叁·万春融雪,94733
3,恒星时刻 第一季,1129933,65022,D2,9,0,100w福利音 · 地地地道地地道道问候语音,94789
4,宋玉章 第一季,4623754,47068,D2,28,5,第八折 ·  沉溺芳华,86589
5,你的雪人能活多久 第一季,1743879,60841,D2,31,9,小剧场04 · 密码,93787
6,尾钩,926744,23258,D2,33,19,第26集 · 憧憬,95503
7,沙子，时间，雨树,111704,7662,D2,6,0,第1集✧˖如果你的眼睛，不是月亮的颜色,94825
8,二哈在狼群里疯狂造谣 第一季,231265,9595,D2,10,0,主题曲·恋爱使狼声名狼藉,94772
9,尚公主 第一季,18063,1976,D2,2,0,预告贰·长安少年行,95847
10,全职高手广播剧第四季 上,73052,6090,D2,3,0,第一集,96092
11,伏特加与曼特宁,2172977,66963,D2,32,8,✦店长来啦！⑦,92988
12,满城衣冠 全一季,2832216,57548,D2,36,11,第12集 · 绑架,90878
13,干涸地,2291409,95368,D2,4,1,火风L原著|干涸地·第二集,86725
14,搭界 第一季,538301,17222,D2,30,16,第十一集,94617
15,我花开后百花杀 第一季,150688,5184,D2,12,2,第六集 · 落叶知心,94893
16,难言之欲,312561,11613,D2,12,5,E6,94857
17,传闻,140546,8754,D2,10,0,✧主役采访 · 下期,95625
18,囚于永夜,1648320,34080,D2,200,161,番外 少爷的生日7,94916
19,穿进赛博游戏后干掉BOSS成功上位 第一季,100741,4907,B,8,0,第4集,95678
20,是心跳说谎 全一季,130948,6939,D2,8,0,赛前阵营VCR,95516
21,沉浮事,1142075,18137,D2,18,7,浊世篇·第七集,94775
22,放学后别来我办公室 全一季,747093,20021,D2,17,4,第六课「初施妙计」,86868
23,炽火难熄 全一季,458309,21866,D2,18,6,第八集 · 夜店,94917
24,嫡谋·第一季,427275,10547,D2,19,10,第十二集· 「寺中初弈」,94462
25,守寡后我重生了 第二季,168691,4641,D2,15,5,第六集,95212
26,绰约,2414022,33053,D2,46,12,律法小贴士·12则,86680
27,乘鸾 第一季,134168,5193,D2,13,2,花絮一,94849
28,解瘾,641445,14732,D2,30,7,福利音❃牵魂,94782
29,触礁,477908,13940,D2,21,9,EP06下⟢| 呛住喉咙的是爱意 |,95034
30,清白之年,614238,15483,D2,24,4,第九集·Life in a Love,94838
