排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
1,早春晴朗,49744039,417275,D2,57,24,27344,17785,65.04%,4.26%,完结FT,72230
2,天官赐福 第四季,12318818,135325,D2,31,10,13213,7828,59.24%,5.78%,新年小剧场《压岁钱》,91718
3,恒星时刻 第一季,1431808,67551,D2,12,0,10900,0,0.00%,0.00%,歌曲《狮心》（Live）Remix,94789
4,尾钩,1019406,23805,D2,40,21,2574,1633,63.44%,6.86%,白噪音 · 郎机长礼拜日志,95503
5,奇洛李维斯回信,55948627,580023,D2,98,41,54264,29301,54.00%,5.05%,OST A12 · 暗恋基本法,85974
6,宋玉章 第一季,4826818,48134,D2,28,5,3387,1474,43.52%,3.06%,第八折 ·  沉溺芳华,86589
7,你的雪人能活多久 第一季,1807518,62128,D2,31,9,5935,1455,24.52%,2.34%,小剧场04 · 密码,93787
8,情蛊,42716790,455480,D2,68,49,55135,34248,62.12%,7.52%,4000w福利·山大王,86178
9,天官赐福 第三季,73910214,278619,D2,68,44,34632,28731,82.96%,10.31%,小剧场·元宵·花灯,82040
10,灯花笑 上季,4377104,62835,D2,36,16,8970,2370,26.42%,3.77%,突击采访,94733
11,全职高手广播剧第四季 上,91883,7039,D2,3,0,493,0,0.00%,0.00%,第一集,96092
12,天官赐福 第一季,89201481,981979,D2,61,43,69146,37390,54.07%,3.81%,四千万福利·小剧场·从前有一位名师,52400
13,天官赐福 第二季,75308023,367021,D2,61,43,39216,35707,91.05%,9.73%,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
14,伏特加与曼特宁,2212850,67253,D2,33,8,3828,1638,42.79%,2.44%,主题曲·秩序失守,92988
15,我在无限游戏里封神 第四季,8289307,147484,D2,56,15,12226,9675,79.13%,6.56%,特别放送 · emoji大挑战,86834
16,一屋暗灯 全一季,13448288,210411,D2,54,14,35080,16367,46.66%,7.78%,主役版主题曲▪未说的,93038
17,放学等我 第一季,55115126,846259,D2,53,18,61978,35878,57.89%,4.24%,1700W福利·P-特别小剧场「2022.12.2」,64911
18,藏南晚星,20470552,211116,D2,81,44,21366,15883,74.34%,7.52%,✧2000万福利·番外·美梦,85110
19,放学等我 第二季,32372107,456004,D2,42,16,44413,33837,76.19%,7.42%,番外·恋爱纪念日,68837
20,魔道祖师 第三季,298188016,1549553,D2,66,56,97602,89907,92.12%,5.80%,传讯符·忘羡,22602
21,魔道祖师 第一季,260918147,2289246,D2,39,22,97131,64629,66.54%,2.82%,主创FT<下>,15861
22,囚于永夜,1694262,34564,D2,200,161,3530,1159,32.83%,3.35%,番外 少爷的生日7,94916
23,魔道祖师 第二季,172017028,1424754,D2,41,37,88910,81654,91.84%,5.73%,主役FT（下）,19059
24,沉浮事,1191201,18450,D2,18,7,1948,1170,60.06%,6.34%,浊世篇·第七集,94775
25,我在无限游戏里封神 第三季,24581021,222731,D2,91,21,30601,22847,74.66%,10.26%,破亿纪念单曲·神明所遗落的,81851
26,干涸地,2314763,95496,D2,5,2,1378,83,6.02%,0.09%,火风L原著|干涸地·第三集,86725
27,江医生 第一季,17428008,240100,D2,49,27,23347,14318,61.33%,5.96%,千万播放福利第四弹·小剧场·猫,81852
28,台风眼 第二季,30178779,165367,D2,50,32,14478,13408,92.61%,8.11%,完结 FT,68664
29,台风眼 第一季,36289938,312603,D2,53,20,22452,14020,62.44%,4.48%,千万福利·富士山在等一片云,52404
30,沙子，时间，雨树,141896,8356,D2,7,0,803,0,0.00%,0.00%,"੭""导游和奇怪的客人·埃及博物馆",94825
31,将进酒 第一季,107090500,1451003,D2,59,16,78378,53354,68.07%,3.68%,完结FT,25944
32,某某 第一季,99142265,1729885,D2,43,28,76987,45074,58.55%,2.61%,伴奏|《梧桐说》,58219
33,传闻,152022,8961,D2,10,0,428,0,0.00%,0.00%,✧主役采访 · 下期,95625
34,江医生 第二季,8709723,124358,D2,44,36,13973,13012,93.12%,10.46%,主役版·绝对,85256
35,再世权臣 第一季,22543394,265102,D2,79,17,24278,11459,47.20%,4.32%,花絮07,71321
36,吞海 第一季,52671407,539898,D2,54,17,45955,28980,63.06%,5.37%,原创配乐·破晓,29187
37,我喜欢你的信息素 第一季,101319973,1524034,D2,48,21,72139,44691,61.95%,2.93%,四千万福利,58217
38,娑婆,2119790,39643,D2,33,22,3935,1319,33.52%,3.33%,第十九集,93178
39,我在无限游戏里封神 第一季,75378391,1007338,D2,64,14,77872,43636,56.04%,4.33%,线下漫展VLOG,52347
40,炽火难熄 全一季,484851,22259,D2,19,7,1727,851,49.28%,3.82%,第九集 · Estoy enamorado de ti,94917
41,清白之年,637659,15681,D2,25,5,1478,443,29.97%,2.83%,第十集·致橡树,94838
42,一颗苹果,14195663,168220,C,82,35,13955,6205,44.46%,3.69%,完结FT · 谢谢光临,90818
43,你的距离,91441618,941567,D2,70,27,78859,56585,71.75%,6.01%,完结FT·主创版,31552
44,重生之将门毒后 第二季,42887817,388015,D2,83,26,50979,34362,67.40%,8.86%,破亿福利·白噪音·花灯,52293
45,将进酒 第二季,73270360,816918,D2,45,22,67582,61398,90.85%,7.52%,第二季完结FT,30383
46,我喜欢你的信息素 第二季,77144394,852680,D2,43,26,59011,49757,84.32%,5.84%,国风版·星衍,58218
47,某某 第二季,66944821,836148,D2,67,39,68679,51397,74.84%,6.15%,破亿纪念·《正年少》,58220
48,我在无限游戏里封神 第二季（下）,21527414,259440,D2,55,14,28436,24302,85.46%,9.37%,花絮06,76557
49,再世权臣 第三季（下）,1011721,28028,D2,21,12,2518,2255,89.56%,8.05%,第十二集 ·  雨后风荷,93437
50,失忆后死对头成了我男朋友？,5652938,105724,D2,48,20,7200,4932,68.50%,4.66%,花絮15·恢复,86693
