排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,45550302,383935,57,24,D2,完结FT,72230
2,情蛊,42143466,451142,68,49,D2,4000w福利·山大王,86178
3,奇洛李维斯回信,55139294,576169,98,41,D2,OST A12 · 暗恋基本法,85974
4,放学等我 第一季,54713422,842849,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
5,二哈和他的白猫师尊,167694403,3199603,84,0,B,概念曲-拜长久（+童声版）,20741
6,天官赐福 第四季,10121221,128447,27,6,D2,第四集·不能尽善问心有憾,91718
7,灯花笑 上季,3677972,57722,30,13,D2,第16集,94733
8,囚于永夜,5414430,322957,1,0,B,织音发布会纯享PV · 概念预告,86822
9,天官赐福 第一季,88220746,978114,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
10,恒星时刻 第一季,767188,61323,4,0,D2,第一集♬R&R,94789
11,伪装学渣 第一季,103735889,1955100,30,17,D2,千万福利·“叫妈妈”,58262
12,一屋暗灯 全一季,13174196,208459,54,14,D2,主役版主题曲▪未说的,93038
13,你的雪人能活多久 第一季,1480224,57131,27,6,D2,小剧场03 · 戒指,93787
14,虚拟偶像团综丨《去世界尽头》,6004797,53714,47,0,B,嘉宾观察室江恪篇·滑草DIY,94354
15,魔道祖师 第一季,260615702,2286828,39,22,D2,主创FT<下>,15861
16,干涸地,2206894,94466,3,0,D2,火风L原著|干涸地·第一集,86725
17,难哄,147675511,1583736,76,48,D2,破亿福利·纪念FT,38074
18,我在无限游戏里封神 第一季,75116960,1005197,64,14,D2,线下漫展VLOG,52347
19,小蘑菇 第一季,51132033,933046,33,17,D2,白噪音·漫步荒原,29125
20,台风眼 第一季,36107041,310459,53,20,D2,千万福利·富士山在等一片云,52404
21,将进酒 第一季,106837569,1449084,59,16,D2,完结FT,25944
22,不二之臣,41442625,859262,16,0,B,大结局·下,25580
23,我喜欢你的信息素 第一季,101117268,1522314,48,21,D2,四千万福利,58217
24,天官赐福 第三季,72979475,276153,68,44,D2,小剧场·元宵·花灯,82040
25,重生之将门毒后 第一季,95320786,844044,82,27,D2,主役reaction·片段03,43922
26,伏特加与曼特宁,1996078,65711,26,4,D2,✦店长来啦！⑤,92988
27,某某 第一季,98964843,1728194,43,28,D2,伴奏|《梧桐说》,58219
28,放学等我 第二季,32134162,453914,42,16,D2,番外·恋爱纪念日,68837
29,红白囍 第一季,7634542,116272,46,13,D2,花絮03,81597
30,我在无限游戏里封神 第四季,8069701,145903,56,15,D2,特别放送 · emoji大挑战,86834
31,偷偷藏不住,203415126,2420474,89,54,D2,2亿福利·双人电话语音,34632
32,囚于永夜,1480143,32436,200,161,D2,番外 少爷的生日7,94916
33,见春天,13529831,235742,54,8,D2,魏清越书信·02,80533
34,藏南晚星,20213462,209465,81,44,D2,✧2000万福利·番外·美梦,85110
35,洄天 第一季,28464941,248251,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
36,宋玉章 第一季,4087027,45755,23,3,D2,第六折 ·  瞒天过海,86589
37,娘娘腔,38760981,726257,31,0,B,主役听剧Reaction,46640
38,一颗苹果,14076229,166654,82,35,C,完结FT · 谢谢光临,90818
39,尾钩,575041,20137,22,9,D2,主题曲② · 让他着陆,95503
40,不想了,9953189,115440,93,66,D2,500W福利·主役版主题曲《同谋》,70445
41,天官赐福 第二季,74382693,364564,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
42,全球高考 第一季（全新版）,22134609,378535,37,11,D2,— 「全季完结FT」—,60289
43,江医生 第一季,17275000,239039,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
44,二哈和他的白猫师尊,16808158,107783,669,603,D2,完结FT,81979
45,满城衣冠 全一季,2632043,56102,34,10,D2,第11集 · 离巢,90878
46,魔道祖师 第三季,297887913,1548572,66,56,D2,传讯符·忘羡,22602
47,再世权臣 第一季,22301366,262824,79,17,D2,花絮07,71321
48,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32058829,115751,95,0,B,许向安&许向宁生日小剧场·那片山那片海,84529
49,FOG[电竞] 第一季,71549108,769668,39,14,D2,2000W福利·whisper伴奏抒情版,29122
50,迪奥先生 第一季,79822068,1079618,30,15,D2,王氏破产 铃声,23329
51,虚拟偶像团综丨《一起再出发》,93698774,255298,179,0,B,中秋特辑·清道夫,58225
52,如果月亮不抱你,84072148,1195139,24,0,B,全网2000万福利突击采访,25485
53,交易沦陷,30273064,179105,138,99,D2,特别福利·星空沦陷,54171
54,你的距离,91247512,940535,70,27,D2,完结FT·主创版,31552
55,奇洛李维斯回信 番外篇,1230366,75768,3,2,D2,番外 ·  庆生宴,93420
56,针锋对决,38294531,941151,19,0,B,完结FT  互动问答,19249
57,判官 第一季,38947798,657519,45,21,D2,听剧reaction,37773
58,这题超纲了 第一季,21263041,501045,44,17,D2,【回放】《这题超纲了》M星直播,41369
59,虚拟偶像团综丨《LASER出道日》,84202443,683093,89,0,B,专业小课堂：电子竞技运动与管理专业,28989
60,重生之将门毒后 第二季,42701084,387027,83,26,D2,破亿福利·白噪音·花灯,52293
61,我在无限游戏里封神 第三季,24386642,221652,91,21,D2,破亿纪念单曲·神明所遗落的,81851
62,吞海 第一季,52452279,538424,54,17,D2,原创配乐·破晓,29187
63,唇枪 上季,418970,22653,1,0,B,织音发布会纯享PV,94802
64,南方海啸,25379692,174591,102,68,D2,花絮⑤,85492
65,于是麦麦决定离家出走,6138638,114345,53,33,D2,七夕小剧场✦小天使,86179
66,魔道祖师 第二季,171828489,1423734,41,37,D2,主役FT（下）,19059
67,酸梅,4277315,260409,4,0,B,第二期,51020
68,封建糟粕,16238887,157077,143,110,D2,充电·李叔堂,87589
69,夫人你马甲又掉了 第一季,65389459,1026986,25,0,B,小剧场3,32574
70,虚拟偶像综艺 |《VANITY FAIR（名利场）》,28987178,130690,71,0,B,梦系列小剧场06·白日,78684
71,别来无恙 第一季,23485229,459634,48,22,D2,1000W福利•《满心》（合唱版）,37937
72,欢迎进入梦魇直播间 第一季,24176788,199403,62,20,D2,完结FT,75856
73,去你的岛,610086,20315,26,13,D2,番外,77026
74,我喜欢你的信息素 第二季,77004151,851693,43,26,D2,国风版·星衍,58218
75,君有疾否 第一季,27366262,469051,67,56,D2,苏世誉 ✦ 第一季启动音,34592
76,坠落,11711222,185913,59,22,D2,番外二·新生,76041
77,虚拟偶像综艺丨《险象环声》,84721540,439849,138,0,B,三千万福利·偶像问答,38165
78,我在无限游戏里封神 第二季（下）,21398917,258419,55,14,D2,花絮06,76557
79,撒野 第一季,88630140,1845109,36,8,D2,千万播放纪念,58443
80,嫡谋·第一季,400292,10162,18,9,D2,第十一集·「春深局变」,94462
81,破云 第一季,59548254,1106221,20,15,D2,圣诞特辑,59047
82,等风热吻你,16890190,315156,56,18,D2,插曲《约定》,52292
