排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,洄天 第一季,17759155,196699,33,1,第三期,86815
2,一屋暗灯 全一季,554826,45873,4,0,伴奏·不愈合,93038
3,我在无限游戏里封神 第四季,2393290,102845,13,2,第二集 · 阴山村,86834
4,沉醉不醒,1551772,39571,13,0,第三期,86740
5,再世权臣 第三季（上）,2083501,44782,32,8,花絮03·都很敏感,86827
6,太傅他人人喊打 第二季,2168737,36445,20,9,第九集,86723
7,伏特加与曼特宁,370717,29126,1,0,京儒♡生日快乐,92988
8,顶级掠食者 第二季,5684370,50171,26,10,第十集,86789
9,欢迎进入梦魇直播间 第二季,5186968,40591,22,10,第十集 ♱ 造啊造，造了个大的,90985
10,沉浮事,79454,6848,12,3,第拾集 不解风情,92895
11,恩客,682990,14143,24,11,17·春情,91870
12,逐玉 第二季,606682,12516,9,1,小剧场 · 小人偶,92520
13,愚蠢的有钱人,88756,10317,4,0,【声展：白锐❤️舒书木】,93113
14,君有疾否,1244696,30333,65,37,第48集,90896
15,初三的六一儿童节 第二季（上）,33907,3654,1,0,预告,93154
16,降水概率百分百,309564,13894,6,0,˚.⊹ 第一期 ♡₊˚,93005
17,反差 全一季,6247605,49860,27,9,第九集·孤注的告白,86684
18,禁区,16140,2065,1,0,概念PV,92575
19,落火 全一季,158147,10601,10,0,第二集,92245
20,余污 第一季,148963,11082,8,0,第二期,92701
21,语义错误 第一季,2813052,22841,15,3,Ep.06 CRASH,92155
22,伏特加与曼特宁,84241,7007,7,0,°☆. 第3集 « *,92968
23,美人印,458680,27069,10,3,第四集,92611
24,不良执念清除师 全一季,923229,8673,9,0,第二集·“帮我”,86818
25,一诺一生 全一季,775539,26553,19,5,小剧场 · 霸总观察日记,91354
26,头像是我，不满意？,4409,687,1,0,预告,93085
27,迟爱,94056,5568,7,0,第二集,92710
28,这恋爱一定要谈吗,458716,17253,19,8,第十集,91787
29,穿成阴鸷反派的联姻对象 第二季,616711,20269,20,11,第十集·从来都不认识他,91771
30,第二十八年春II,105504,4332,2,0,第五期,92633
