排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,48775569,411465,57,24,D2,完结FT,72230
2,情蛊,42507813,453917,68,49,D2,4000w福利·山大王,86178
3,放学等我 第一季,54953950,844799,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,55663659,578606,98,41,D2,OST A12 · 暗恋基本法,85974
5,二哈和他的白猫师尊,168014210,3201658,84,0,B,概念曲-拜长久（+童声版）,20741
6,天官赐福 第四季,11458158,132872,30,9,D2,新年小剧场《压岁钱》,91718
7,灯花笑 上季,4150555,61396,33,15,D2,主题曲叁·万春融雪,94733
8,小蘑菇 第一季,51278344,934055,33,17,D2,白噪音·漫步荒原,29125
9,恒星时刻 第一季,1051594,64409,7,0,D2,小剧场 · 猎手,94789
10,天官赐福 第一季,88827326,980618,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
11,虚拟偶像团综丨《去世界尽头》,6631411,55264,50,0,B,LASER&MANTA纯享版·《奔赴》,94354
12,囚于永夜,5444511,323859,1,0,B,织音发布会纯享PV · 概念预告,86822
13,难哄,147879374,1585328,76,48,D2,破亿福利·纪念FT,38074
14,干涸地,2281982,95214,4,1,D2,火风L原著|干涸地·第二集,86725
15,不二之臣,41589959,861015,16,0,B,大结局·下,25580
16,伪装学渣 第一季,103815523,1956050,30,17,D2,千万福利·“叫妈妈”,58262
17,魔道祖师 第一季,260811618,2288384,39,22,D2,主创FT<下>,15861
18,红白囍 第一季,7694971,116785,46,13,D2,花絮03,81597
19,你的雪人能活多久 第一季,1701925,60199,30,8,D2,第七集 · 坏兔子大战狗狗博士,93787
20,一屋暗灯 全一季,13349441,209659,54,14,D2,主役版主题曲▪未说的,93038
21,台风眼 第一季,36221675,311738,53,20,D2,千万福利·富士山在等一片云,52404
22,将进酒 第一季,106999112,1450338,59,16,D2,完结FT,25944
23,我在无限游戏里封神 第一季,75279497,1006487,64,14,D2,线下漫展VLOG,52347
24,重生之将门毒后 第一季,95554085,845283,82,27,D2,主役reaction·片段03,43922
25,偷偷藏不住,203574576,2421445,89,54,D2,2亿福利·双人电话语音,34632
26,天官赐福 第三季,73559538,277731,68,44,D2,小剧场·元宵·花灯,82040
27,某某 第一季,99076730,1729217,43,28,D2,伴奏|《梧桐说》,58219
