排名,剧名,播放量,订阅数,总集数,付费集数,最新更新,剧集ID
1,一屋暗灯 全一季,6962499,152979,33,6,第八集,93038
2,洄天 第一季,25325191,233796,52,9,第十一期,86815
3,我在无限游戏里封神 第四季,4759897,124900,31,10,第十集 · 拉塞尔公墓,86834
4,沉醉不醒,2921414,51025,31,13,第十一期,86740
5,愚蠢的有钱人,1001937,23714,71,56,【花絮5】,93113
6,再世权臣 第三季（下）,316259,17973,10,5,第五集 ·  烈火真金,93437
7,入蛊 全一季,403768,15250,10,4,Ⱄⱄᐝ第七回,93646
8,秋燥 第一季,201355,11944,8,0,小剧场 · 第一聚,93438
9,大王万万不可！ 第一季,6148,2276,1,0,预告·入局,94259
10,娑婆,868911,29223,11,4,第六集,93178
11,奇洛李维斯回信 番外篇,801547,54927,3,2,番外 ·  庆生宴,93420
12,沉浮事,434131,12264,74,64,第柒拾壹集 当断则断,92895
13,精神科医生神经了,93014,9310,9,0,主题曲①♪失控综合征,93567
14,液态欲望 全一季,646723,28385,21,9,EP06（下）,86692
15,门生故旧,160202,9583,12,0,★ 06·欲望,93774
16,降水概率百分百,995825,21707,20,6,特别彩蛋 ♡ 要迟到了,93005
17,蜉蝣,396447,19052,14,3,ೀ˖˚ 小剧场·雨后屋顶,93202
18,初三的六一儿童节 第二季（上）,1339743,10921,15,7,第八集 · 暗战1992,93154
19,逆鳞 第一季,146490,10242,8,0,花絮①,93750
20,禁区,410866,11820,71,45,47 棋局,92575
21,玫瑰美人 全一季,26625,4973,4,0,主题曲《仲夏夜之梦》,94009
22,欲言难止,219043,9282,182,160,欲言难止 第171集 我做了一个很长的梦（完）,93138
23,逐玉 第二季,886056,15600,21,9,第十二集 · 回京,92520
24,美人印,697268,30561,23,14,第12集,92611
25,余污 第一季,298854,14471,14,5,第七期,92701
26,只想和你好好的,29256,2893,3,0,✧ 声展·乔裕 ✧,94176
27,全球进化后我站在食物链顶端 第二季（下）,206491,11028,14,9,第二十四集,92775
28,嫁入高门的人,178776,5229,45,33,第39集,93169
29,伏特加与曼特宁,294071,10640,63,54,°☆. 第59集 « *,92968
30,沉入地球,139800,6268,30,14,第26集 · 天崩地坼,93569
