排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,48197965,407377,57,24,D2,完结FT,72230
2,情蛊,42422627,453262,68,49,D2,4000w福利·山大王,86178
3,放学等我 第一季,54892644,844173,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
4,奇洛李维斯回信,55545743,578020,98,41,D2,OST A12 · 暗恋基本法,85974
5,二哈和他的白猫师尊,167948198,3201302,84,0,B,概念曲-拜长久（+童声版）,20741
6,天官赐福 第四季,11152284,131879,29,8,D2,新年小剧场《压岁钱》,91718
7,灯花笑 上季,4044943,60664,32,15,D2,第18集,94733
8,天官赐福 第一季,88687533,980040,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
9,恒星时刻 第一季,1008495,64036,6,0,D2,第二集♬Midwest Emo,94789
10,小蘑菇 第一季,51246881,933816,33,17,D2,白噪音·漫步荒原,29125
11,囚于永夜,5438673,323659,1,0,B,织音发布会纯享PV · 概念预告,86822
12,难哄,147835623,1585004,76,48,D2,破亿福利·纪念FT,38074
13,伪装学渣 第一季,103801234,1955864,30,17,D2,千万福利·“叫妈妈”,58262
14,虚拟偶像团综丨《去世界尽头》,6423071,54736,49,0,B,MANTA柏闻单曲·《Blue Hour》纯享版,94354
15,干涸地,2270959,95089,4,1,D2,火风L原著|干涸地·第二集,86725
16,不二之臣,41561322,860726,16,0,B,大结局·下,25580
17,魔道祖师 第一季,260767620,2288063,39,22,D2,主创FT<下>,15861
18,你的雪人能活多久 第一季,1642060,59562,29,7,D2,教师节福利彩蛋,93787
19,红白囍 第一季,7685950,116704,46,13,D2,花絮03,81597
20,一屋暗灯 全一季,13313033,209369,54,14,D2,主役版主题曲▪未说的,93038
21,台风眼 第一季,36195994,311426,53,20,D2,千万福利·富士山在等一片云,52404
22,将进酒 第一季,106958602,1450074,59,16,D2,完结FT,25944
23,我在无限游戏里封神 第一季,75242665,1006188,64,14,D2,线下漫展VLOG,52347
24,重生之将门毒后 第一季,95503432,845023,82,27,D2,主役reaction·片段03,43922
25,天官赐福 第三季,73414881,277391,68,44,D2,小剧场·元宵·花灯,82040
26,偷偷藏不住,203539888,2421274,89,54,D2,2亿福利·双人电话语音,34632
27,我喜欢你的信息素 第一季,101214141,1523145,48,21,D2,四千万福利,58217
28,某某 第一季,99051557,1728993,43,28,D2,伴奏|《梧桐说》,58219
29,伏特加与曼特宁,2105413,66562,30,7,D2,✧200万·祝京儒日记·自由,92988
30,尾钩,795754,22166,29,15,D2,花絮1 · 全世界都说河南话,95503
31,放学等我 第二季,32237845,454740,42,16,D2,番外·恋爱纪念日,68837
32,藏南晚星,20346513,210288,81,44,D2,✧2000万福利·番外·美梦,85110
33,见春天,13574512,236349,54,8,D2,魏清越书信·02,80533
34,我在无限游戏里封神 第四季,8178693,146623,56,15,D2,特别放送 · emoji大挑战,86834
35,不想了,9990707,115673,93,66,D2,500W福利·主役版主题曲《同谋》,70445
36,天官赐福 第二季,74846217,365743,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
37,洄天 第一季,28546096,248646,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
38,如果月亮不抱你,84183733,1196052,24,0,B,全网2000万福利突击采访,25485
39,娘娘腔,38847618,727083,31,0,B,主役听剧Reaction,46640
40,宋玉章 第一季,4403055,46398,25,4,D2,宋玉章 · 教师节特别语音,86589
41,囚于永夜,1592245,33555,200,161,D2,番外 少爷的生日7,94916
42,一颗苹果,14133374,167387,82,35,C,完结FT · 谢谢光临,90818
43,再世权臣 第一季,22390247,263602,79,17,D2,花絮07,71321
44,全球高考 第一季（全新版）,22206798,379192,37,11,D2,— 「全季完结FT」—,60289
45,魔道祖师 第三季,298036898,1549031,66,56,D2,传讯符·忘羡,22602
46,江医生 第一季,17352579,239539,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
