排名,剧名,播放量,订阅数,总集数,付费集数,宣发策略,最新更新,剧集ID
1,早春晴朗,44637142,374529,57,24,D2,完结FT,72230
2,情蛊,42062413,450487,68,49,D2,4000w福利·山大王,86178
3,奇洛李维斯回信,55020145,575539,98,41,D2,OST A12 · 暗恋基本法,85974
4,二哈和他的白猫师尊,167617743,3199075,84,0,B,概念曲-拜长久（+童声版）,20741
5,放学等我 第一季,54651307,842382,53,18,D2,1700W福利·P-特别小剧场「2022.12.2」,64911
6,天官赐福 第四季,9845617,127291,27,6,D2,第四集·不能尽善问心有憾,91718
7,灯花笑 上季,3552409,56863,28,11,D2,第14集,94733
8,囚于永夜,5406086,322696,1,0,B,织音发布会纯享PV · 概念预告,86822
9,天官赐福 第一季,88089025,977495,61,43,D2,四千万福利·小剧场·从前有一位名师,52400
10,伪装学渣 第一季,103712114,1954802,30,17,D2,千万福利·“叫妈妈”,58262
11,一屋暗灯 全一季,13126135,208041,54,14,D2,主役版主题曲▪未说的,93038
12,你的雪人能活多久 第一季,1448902,56699,27,6,D2,小剧场03 · 戒指,93787
13,虚拟偶像团综丨《去世界尽头》,5882985,53419,46,0,B,第八期·落九天,94354
14,魔道祖师 第一季,260573589,2286396,39,22,D2,主创FT<下>,15861
15,恒星时刻 第一季,628232,58222,4,0,D2,第一集♬R&R,94789
16,我在无限游戏里封神 第一季,75076866,1004856,64,14,D2,线下漫展VLOG,52347
17,干涸地,2175999,94381,3,0,D2,火风L原著|干涸地·第一集,86725
18,难哄,147629782,1583317,76,48,D2,破亿福利·纪念FT,38074
19,台风眼 第一季,36083202,310160,53,20,D2,千万福利·富士山在等一片云,52404
20,将进酒 第一季,106807150,1448796,59,16,D2,完结FT,25944
21,我喜欢你的信息素 第一季,101088077,1522024,48,21,D2,四千万福利,58217
22,天官赐福 第三季,72862330,275786,68,44,D2,小剧场·元宵·花灯,82040
23,重生之将门毒后 第一季,95269120,843716,82,27,D2,主役reaction·片段03,43922
24,伏特加与曼特宁,1972216,65482,26,4,D2,✦店长来啦！⑤,92988
25,小蘑菇 第一季,51099534,932809,33,17,D2,白噪音·漫步荒原,29125
26,某某 第一季,98937241,1727884,43,28,D2,伴奏|《梧桐说》,58219
27,放学等我 第二季,32101134,453653,42,16,D2,番外·恋爱纪念日,68837
28,不二之臣,41407816,858754,16,0,B,大结局·下,25580
29,我在无限游戏里封神 第四季,8035552,145646,56,15,D2,特别放送 · emoji大挑战,86834
30,宋玉章 第一季,3993730,45653,23,3,D2,第六折 ·  瞒天过海,86589
31,囚于永夜,1438991,31936,200,161,D2,番外 少爷的生日7,94916
32,洄天 第一季,28440695,248114,65,14,D2,完结语音 · 高能量S级监护人的一天,86815
33,见春天,13516316,235554,54,8,D2,魏清越书信·02,80533
34,偷偷藏不住,203379940,2420220,89,54,D2,2亿福利·双人电话语音,34632
35,一颗苹果,14058554,166418,82,35,C,完结FT · 谢谢光临,90818
36,娘娘腔,38732082,725941,31,0,B,主役听剧Reaction,46640
37,藏南晚星,20165126,209242,81,44,D2,✧2000万福利·番外·美梦,85110
38,红白囍 第一季,7614888,116149,46,13,D2,花絮03,81597
39,天官赐福 第二季,74244507,364212,61,43,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
40,不想了,9942885,115370,93,66,D2,500W福利·主役版主题曲《同谋》,70445
41,全球高考 第一季（全新版）,22113511,378277,37,11,D2,— 「全季完结FT」—,60289
42,尾钩,515120,19528,20,8,D2,第15集 · 勇往,95503
43,江医生 第一季,17252646,238887,49,27,D2,千万播放福利第四弹·小剧场·猫,81852
44,二哈和他的白猫师尊,16773776,107622,669,603,D2,完结FT,81979
45,魔道祖师 第三季,297844124,1548394,66,56,D2,传讯符·忘羡,22602
46,满城衣冠 全一季,2597481,55823,33,9,D2,白噪音 · 苏苏念经,90878
47,再世权臣 第一季,22279451,262667,79,17,D2,花絮07,71321
48,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32015115,115667,95,0,B,许向安&许向宁生日小剧场·那片山那片海,84529
49,迪奥先生 第一季,79812495,1079564,30,15,D2,王氏破产 铃声,23329
50,FOG[电竞] 第一季,71522642,769523,39,14,D2,2000W福利·whisper伴奏抒情版,29122
51,虚拟偶像团综丨《一起再出发》,93646955,255220,179,0,B,中秋特辑·清道夫,58225
52,交易沦陷,30229494,178963,138,99,D2,特别福利·星空沦陷,54171
53,针锋对决,38283486,940940,19,0,B,完结FT  互动问答,19249
54,奇洛李维斯回信 番外篇,1223442,75446,3,2,D2,番外 ·  庆生宴,93420
55,判官 第一季,38930482,657355,45,21,D2,听剧reaction,37773
56,你的距离,91220841,940383,70,27,D2,完结FT·主创版,31552
57,虚拟偶像团综丨《LASER出道日》,84177517,682941,89,0,B,专业小课堂：电子竞技运动与管理专业,28989
58,这题超纲了 第一季,21248271,500864,44,17,D2,【回放】《这题超纲了》M星直播,41369
59,唇枪 上季,405074,22376,1,0,B,织音发布会纯享PV,94802
60,我在无限游戏里封神 第三季,24357551,221489,91,21,D2,破亿纪念单曲·神明所遗落的,81851
61,重生之将门毒后 第二季,42674914,386848,83,26,D2,破亿福利·白噪音·花灯,52293
62,如果月亮不抱你,84043720,1194829,24,0,B,全网2000万福利突击采访,25485
63,吞海 第一季,52420681,538231,54,17,D2,原创配乐·破晓,29187
64,南方海啸,25339645,174477,102,68,D2,花絮⑤,85492
65,于是麦麦决定离家出走,6126933,114198,53,33,D2,七夕小剧场✦小天使,86179
66,魔道祖师 第二季,171801694,1423548,41,37,D2,主役FT（下）,19059
67,酸梅,4271572,260251,4,0,B,第二期,51020
68,封建糟粕,16223971,156924,143,110,D2,充电·李叔堂,87589
69,虚拟偶像综艺 |《VANITY FAIR（名利场）》,28964933,130622,71,0,B,梦系列小剧场06·白日,78684
70,去你的岛,608084,20264,26,13,D2,番外,77026
